Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Topic
Which maternal factor is most directly protective against neural tube defects-,Increased caffeine intake,Folic acid supplementation before and during early pregnancy,Restriction of all physical activity,Delayed prenatal consultation until the third trimester,2,Adequate folic acid intake before conception and during early pregnancy helps reduce the risk of neural tube defects.,medium,Developmental Psychology,Chapter 3: Forming a New Life
Which statement about paternal influences on prenatal development is most accurate- outcomes.,Fathers have no biological effect once conception occurs.,Paternal influences are limited to financial support.,Environmental exposures affecting the father can influence sperm and fetal outcomes.,Paternal age and health matter only after birth.,3,"Paternal age, health, and environmental exposures can affect sperm quality and may influence fetal development.",medium,Developmental Psychology,Chapter 3: Forming a New Life
Ultrasound is primarily used in prenatal care to:,change the fetus's genotype,visualize fetal development and detect possible abnormalities,determine intelligence before birth,eliminate the need for all other prenatal tests,2,Ultrasound is primarily used to monitor fetal growth and development and to help detect possible structural abnormalities.,medium,Developmental Psychology,Chapter 3: Forming a New Life
Which prenatal diagnostic technique involves sampling amniotic fluid-,Chorionic villus sampling,Fetoscopy,Amniocentesis,Ultrasound imaging,3,Amniocentesis is a prenatal diagnostic procedure that involves sampling amniotic fluid for analysis.,medium,Developmental Psychology,Chapter 3: Forming a New Life
"The strongest argument for early, high-quality prenatal care is that it: outcomes",guarantees a complication-free pregnancy,can help detect problems early and reduce the risk of poor maternal and infant outcomes,removes all teratogenic risks,replaces the need for preconception care,2,"Early, high-quality prenatal care supports prevention, monitoring, and early management of risks that may affect maternal and infant health.",medium,Developmental Psychology,Chapter 3: Forming a New Life
Preconception care is best justified because it: occurs,is needed only after infertility treatment,helps improve pregnancy outcomes by addressing risks before conception occurs,applies only to fathers,is less important than third-trimester care,2,Preconception care improves pregnancy outcomes by identifying and addressing health risks before pregnancy begins.,medium,Developmental Psychology,Chapter 3: Forming a New Life
A registered psychometrician in a prenatal clinic is asked by a family to interpret a chromosomal screening result and state whether the fetus has a genetic disorder. The most ethical action is to: qualified professional,interpret the result independently to be helpful,give a definitive genetic diagnosis based on personal judgment,explain the limits of one's competence and refer the family to the appropriate qualified professional,post the result in a shared group chat so other staff can comment,3,Ethical and professional practice requires a psychometrician to work within the limits of competence and to refer matters requiring specialized diagnosis or interpretation to the appropriate qualified professional.,medium,Developmental Psychology,Chapter 3: Forming a New Life
"During case discussion in a hospital, a psychology practitioner shares only the minimum prenatal information necessary for referral and avoids unnecessary identifiers. This best reflects the ethical principle of:",exploitative relationship,minimizing invasions of privacy and maintaining confidentiality,improper complaints,unfair discrimination,2,Ethical practice requires protecting privacy and confidentiality by disclosing only the minimum necessary information for legitimate professional purposes.,medium,Developmental Psychology,Chapter 3: Forming a New Life
A full-term infant is brought to the nursery. Which finding would BEST indicate successful early adjustment to extrauterine life-,Immediate ability to regulate emotions independently,Rapid initiation of breathing and stable heart rate,Complete disappearance of all reflexes at birth,Ability to sleep through the night on the first day,2,Successful newborn adjustment to extrauterine life depends heavily on immediate functioning of respiratory and circulatory systems. A healthy infant must begin breathing independently and maintain effective heart function soon after birth.,medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which sequence BEST represents the normal stages of childbirth-,"Expulsion of placenta, dilation of cervix, descent of baby","Dilation of cervix, descent and emergence of baby, expulsion of placenta","Descent of baby, dilation of cervix, clamping of cord","Dilation of cervix, expulsion of placenta, emergence of baby",2,"The normal sequence of labor is: first, dilation of the cervix; second, descent and emergence of the baby; and third, expulsion of the placenta and remaining membranes.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
"A psychometrician is asked by anxious relatives to explain a newborn screening result in detail, even though the parents have not yet consented to release. What is the MOST appropriate professional response- established",Explain the result fully because relatives are concerned,Release only the raw score to avoid misinterpretation,Withhold disclosure until proper consent and authorized release are established,Postpone disclosure only if the physician objects,3,"Confidentiality and authorized disclosure apply to assessment information. Even if relatives are concerned, results should be explained only to authorized recipients and with proper consent. This is consistent with ethical duties regarding confidentiality and informed consent under Philippine standards and the PAP Code of Ethics.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement BEST distinguishes the Apgar Scale from the Brazelton Neonatal Behavioral Assessment Scale- the Brazelton examines behavioral and neurological responsiveness,"The Apgar assesses long-term intelligence, whereas the Brazelton assesses birth defects","The Apgar is a quick measure of immediate newborn condition, whereas the Brazelton examines behavioral and neurological responsiveness","The Apgar is used at 6 months, whereas the Brazelton is used only at birth","The Apgar is primarily for temperament, whereas the Brazelton is for language readiness",2,"The Apgar Scale is a rapid assessment of immediate physical condition after birth. The Brazelton NBAS is broader and examines neonatal responsiveness, neurological functioning, state regulation, reflexes, and interaction capacities.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
A newborn develops yellowing of the skin and eyes three days after birth. This condition is MOST likely:,Anoxia,Neonatal jaundice,Meconium aspiration,Postmaturity,2,"Yellowing of the skin and eyes several days after birth is characteristic of neonatal jaundice, commonly linked to liver immaturity.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which condition poses the GREATEST immediate risk of permanent brain injury during delivery if not promptly corrected-,Neonatal jaundice,Anoxia,Small-for-gestational-age status,Low activity level during deep sleep,2,"Anoxia, or severe lack of oxygen, can rapidly lead to permanent brain injury if a newborn fails to establish breathing or is deprived of oxygen during delivery.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which infant is correctly classified as low birth weight-,"Infant weighing 2,450 grams at birth","Infant weighing 2,900 grams at birth","Infant weighing 3,100 grams at birth","Infant weighing 3,500 grams at birth",1,"Low birth weight is defined as less than 2,500 grams at birth. Therefore, 2,450 grams meets the definition.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement about low-birth-weight infants is MOST accurate-,All are premature,All are postmature,They may be preterm or small-for-gestational-age,They never show long-term developmental risk if hospital care is adequate,3,"Low-birth-weight infants are not a single group. They may be born too early, or they may be born at or near term but be unusually small for gestational age.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
A newborn is delivered at 35 weeks' gestation and weighs appropriately for gestational age. This infant is BEST classified as:,Postmature,Small-for-gestational-age,Preterm,Stillborn,3,"An infant born before 37 weeks' gestation is classified as preterm, regardless of being appropriate in weight for gestational age.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which practice has been strongly associated with reduced risk of sudden infant death syndrome-,Placing infants to sleep prone,Using thick pillows to maintain head position,Placing infants on their backs to sleep,Encouraging co-sleeping on soft mattresses,3,Back sleeping has been strongly associated with reduced SIDS risk and is a major public health recommendation.,medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement BEST reflects the role of immunization in infancy- some children remain incompletely protected,Immunization is optional because herd protection fully replaces individual vaccination,"Vaccine-preventable diseases have declined with immunization, though some children remain incompletely protected",Vaccination is mainly useful after toddlerhood,Delayed vaccination has no public health implication,2,"Immunization has substantially reduced many infectious diseases, but incomplete or delayed vaccination leaves some children inadequately protected.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Some parents refuse infant vaccination because they believe vaccines cause autism. Which is the BEST response- autism,Their belief is correct for MMR but not for DPT,The evidence does not support a causal link between vaccines and autism,Vaccination should be avoided in all neurologically vulnerable infants,Autism is caused only by vaccine preservatives,2,"Large-scale evidence does not support the claim that routine childhood vaccines cause autism. The misconception persists, but it is not scientifically supported.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which principle of development is BEST illustrated by an infant gaining control of the head and trunk before the legs-,Proximodistal principle,Cephalocaudal principle,Dynamic systems principle,Reflexive principle,2,The cephalocaudal principle states that development proceeds from head to tail. Head and upper-body control emerge before lower-body control.,medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which example BEST illustrates the proximodistal principle-,A baby lifts the head before standing,A child crawls before walking,A baby controls the shoulders and arms before the fingers,A child babbles before speaking words,3,The proximodistal principle means development proceeds from the center outward. Control of proximal structures precedes distal fine-motor control.,medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement BEST describes physical growth during the first three years-,Growth is slowest during the first year and accelerates later,"Growth is rapid at first, then gradually slows","Growth occurs only in height, not in body proportions",Growth in the first three years is too irregular to show a pattern,2,"Physical growth is especially dramatic during the first year and continues rapidly, though at a decreasing rate, through the first three years.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement about breastfeeding is MOST accurate- months when possible,It has no demonstrated developmental advantages over formula,It is recommended only for underweight infants,It offers health benefits and is ideally exclusive for about the first six months when possible,It should be avoided once reflexes begin to disappear,3,"Breastfeeding is associated with several health and developmental advantages, and exclusive breastfeeding is ideally recommended for about the first six months when feasible.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement about the infant brain is MOST accurate- time,It reaches full adult size at birth,"It grows rapidly before and after birth, with continued specialization over time",Myelination is completed in the first month,Cell death in the brain is always pathological,2,"The infant brain undergoes rapid growth before and after birth, with continued organization, myelination, and specialization after infancy.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Lateralization refers to:,Loss of neurons following trauma,Coordination between sensation and motion in depth perception,Specialization of the two cerebral hemispheres for different functions,Automatic repetition of primitive reflexes,3,"Lateralization refers to functional specialization of the brain's hemispheres, such as language-related dominance in one hemisphere and spatial processing in the other.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement about early reflexes is MOST accurate- control increases,Their persistence always indicates advanced development,They are unrelated to neurological status,Many early reflexes normally disappear during the first year as cortical control increases,They are learned through imitation,3,"Primitive reflexes are normal indicators of neonatal functioning, but many fade as voluntary cortical control develops.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which sense is LEAST developed at birth-,Touch,Smell,Hearing,Vision,4,"Among the senses, vision is the least mature at birth. Newborn visual acuity and coordination improve substantially in the first months.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement about infant sensory development is MOST accurate- before birth,All sensory systems mature only after birth,"Touch begins to develop early, and several senses begin developing before birth",Hearing develops last among the senses,Newborns are insensitive to pain,2,"Touch develops early, and smell, taste, and hearing also begin to develop prenatally. Sensory development does not wait until birth.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
"An infant begins to move independently across the room. According to developmental theory, self-locomotion is important because it:",Eliminates the need for caregiver guidance,Produces change only in motor functioning,Influences multiple domains of development,Occurs independently of perception,3,"Self-locomotion changes the infant's relation to people, objects, and space, affecting exploration, cognition, emotion, and social interaction.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement BEST reflects Gibson's ecological theory of perception-,Perception develops only after motor mastery is complete,Perception and action are interdependent from early life,Motor behavior is explained solely by maturation,Depth perception is entirely learned through instruction,2,Gibson's ecological view holds that perception and action are coordinated from the start and jointly help infants adapt to their environment.,medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement BEST reflects Thelen's dynamic systems theory- relation to the environment,Motor development unfolds solely from a genetic timetable,Motor skills emerge through the active coordination of multiple systems in relation to the environment,Infants learn movement mainly by reinforcement from adults,Perception has little role in motor skill acquisition,2,"Thelen's dynamic systems theory emphasizes that motor development results from ongoing coordination among neural, bodily, motivational, and environmental systems.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which factor would MOST likely accelerate the achievement of some motor milestones without changing the general developmental sequence-,Severe oxygen deprivation,Culturally patterned opportunities for movement and practice,Elimination of all caregiver interaction,Prematurity with very low birth weight,2,Cultural practices can speed up or slow down the timing of certain motor achievements while preserving the general developmental order.,medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
"A practitioner is asked to administer and interpret a developmental screening tool for infants with no training in infant assessment. Under Philippine ethical standards, the BEST course of action is to:",Proceed if the parents insist,Proceed but avoid writing conclusions,Practice only within one's competence and refer when necessary,Administer the tool and let the physician interpret everything,3,"Under Philippine ethical standards and RA 10029-related boundaries of competence, practitioners must work within training and competence and make referrals when needed.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
"A hospital requests a psychometrician to explain infant assessment findings to a third-party agency. What should be clarified FIRST- information, and the limits of confidentiality",The practitioner's political neutrality,"The nature of the professional role, the client, the intended use of the information, and the limits of confidentiality",Whether the agency can pay additional fees,Whether relatives agree with the findings,2,"When services are requested by a third party, ethical practice requires clarifying role, client identity, probable uses of information, and confidentiality limits at the outset.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
"In discussing developmental screening results with parents, which action is MOST consistent with ethical and professional standards- recipients",Release raw test data immediately to all family members,Use nontechnical language and communicate findings only to authorized recipients,Avoid explaining results to prevent parental anxiety,Post findings in the child's school file without written authorization,2,"Assessment findings should be explained in language recipients can understand, while respecting authorization, confidentiality, and proper release procedures. This is especially important with parents and guardians.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
A newborn obtains a low 5-minute Apgar score. The MOST accurate interpretation is that: immediate condition rather than a certain long-term outcome,The child will certainly develop intellectual disability,The child has a fixed temperament problem,"The infant may need medical assistance, and the score reflects immediate condition rather than a certain long-term outcome",No further observation is needed after the score is recorded,3,"A low Apgar score signals possible immediate difficulty and need for intervention, especially with breathing. It does not by itself guarantee a fixed long-term outcome.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which situation BEST illustrates postmaturity-,A fetus delivered before 37 weeks,"A newborn weighing below 2,500 grams",An infant born after an unusually long gestation,A neonate with transient jaundice,3,Postmaturity refers to birth after prolonged gestation beyond the expected term.,medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement about infant mortality is MOST accurate- are linked to preventable or treatable factors,It is highest in highly industrialized nations,It has no meaningful relation to prenatal or postnatal care,"It has declined in many places, but disparities remain and many deaths are linked to preventable or treatable factors",It is caused primarily by minor feeding difficulties,3,"Infant mortality has generally decreased, but disparities remain, and many deaths are associated with prematurity, low birth weight, inadequate care, and other preventable or reducible factors.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement BEST explains why early environmental experience is important in brain development- negatively during rapid growth,The infant brain is completely fixed at birth,Early experience can influence neural organization positively or negatively during rapid growth,Experience affects only emotional development,Brain development depends only on heredity during the first three years,2,"Because the infant brain is rapidly developing, environmental input can shape neural pathways in beneficial or harmful ways.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which observation BEST reflects the normal progression from reflexive to voluntary control-,Persistence of primitive reflexes without change across the first year,Increasing purposeful reaching as automatic responses decline,Complete absence of reflexes at birth,Sudden appearance of handedness in the newborn period,2,"A hallmark of early physical development is the shift from reflexive behavior to increasingly voluntary, goal-directed movement.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
A public clinic psychometrician wants to conduct a small outcome study on an infant stimulation program. Which ethical step is MOST essential before collecting parent-infant data- participants,Use deception to avoid response bias,Obtain informed consent using language reasonably understandable to participants,Skip consent if the study benefits the community,Collect names publicly for transparency,2,Research involving parents and infants requires informed consent stated in understandable language. This is a core ethical protection in research and assessment practice.,medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
"Which conclusion BEST integrates current understanding of early motor development- maturation, experience, motivation, and context",Motor development is entirely universal and unaffected by culture,Motor development is random and cannot be meaningfully studied,"Motor development follows an orderly sequence, but timing is shaped by maturation, experience, motivation, and context",Motor development depends only on reflex maturation,3,"Current developmental understanding holds that motor development is orderly, but not mechanically fixed. Timing can vary with biology, opportunity, practice, culture, motivation, and environmental context.",medium,Developmental Psychology,Chapter 4: Birth and Physical Development during the First Three Years
Which statement best reflects the behaviorist approach to infant cognitive development- strengthening of responses,Infants actively construct knowledge through increasingly complex mental structures,Infant learning can be understood through conditioning and the strengthening of responses,Cognitive development is best inferred from brain imaging alone,Language emerges mainly from innate grammatical structures independent of experience,2,"The behaviorist approach explains early cognition through observable learning processes such as classical and operant conditioning, emphasizing how responses are acquired, strengthened, or weakened through environmental contingencies.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
A 7-month-old repeatedly kicks to make a mobile move and later shows excitement when placed under the same mobile again. This finding most strongly supports the view that infants,cannot retain information unless they can verbally rehearse it,possess memory processes that can be activated by reminders,show only reflexive behavior during the first year,acquire knowledge only through symbolic thought,2,"Mobile-kicking research shows that infants can retain learned information and that reminder cues can reactivate previously learned responses, demonstrating early memory ability.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which assessment is most appropriately classified under the psychometric approach in infancy and toddlerhood-,Strange Situation,Bayley Scales of Infant and Toddler Development,Visual cliff procedure,False-belief task,2,The Bayley Scales are developmental assessment tools used to measure current infant and toddler functioning within the psychometric approach.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
A developmental examiner concludes that a 14-month-old with a low developmental test score will inevitably have low adult intelligence. This conclusion is most questionable because developmental tests in infancy,are designed only for children with sensory impairments,are generally stronger indicators of current functioning than of later IQ,primarily measure attachment security rather than cognition,are invalid unless administered in school settings,2,Developmental tests in infancy are more useful for describing present functioning than for making fixed long-term predictions about adult intelligence.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which home condition is most likely to support cognitive competence in infancy-,Highly restrictive routines with minimal verbal interaction,Frequent caregiver responsiveness and age-appropriate stimulation,Early academic drills with punishment for mistakes,Exposure to passive screen media for most waking hours,2,Responsive caregiving and appropriate stimulation provide infants with the interaction and environmental input needed to support cognitive growth.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Early intervention is most justified when competence,a child performs normally but the parents request enrichment for prestige reasons,the home environment fails to provide conditions necessary for cognitive competence,the child has already entered formal operations,developmental delay can be confirmed only after adolescence,2,Early intervention is most appropriate when environmental risk or deprivation threatens the conditions needed for normal cognitive development.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
"In Piaget's theory, the sensorimotor stage is primarily characterized by",hypothetical-deductive reasoning,learning through sensory experience and motor activity,reliance on abstract symbols and formal logic,mastery of conservation and reversibility,2,The sensorimotor stage is defined by the infant's use of sensory input and motor actions to understand the world.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which pair of terms is most closely associated with Piaget's account of early cognitive growth-,Reinforcement and punishment,Encoding and retrieval,Schemes and circular reactions,Scaffolding and zone of proximal development,3,"Piaget described early cognition in terms of schemes, or organized patterns of behavior, and circular reactions, or repeated actions discovered by chance and maintained because of their effects.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
"An infant accidentally shakes a rattle, enjoys the sound, and then repeats the action several times. Piaget would classify this as",deferred imitation,tertiary circular reaction,circular reaction,social referencing,3,A circular reaction occurs when an infant repeats an action that first happened by chance because it produced an interesting result.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
A toddler searches for a toy that was hidden under a blanket even after the toy is no longer visible. This behavior best illustrates,joint attention,object permanence,overextension,classical conditioning,2,Searching for a hidden object shows the understanding that the object continues to exist even when it cannot be seen.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which finding most strongly challenged Piaget's claim that object permanence appears relatively late-,Infants protest when separated from caregivers,Young infants look longer at physically impossible events,Toddlers use gestures before words,Children imitate peers more than adults,2,"Longer looking at impossible events suggests that infants detect violations of physical reality, indicating earlier object understanding than Piaget proposed.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
"A child watches an adult fold a cloth and later reproduces the act after a delay, without the model being present. This is best described as",operant conditioning,habituation,deferred imitation,cross-modal transfer,3,Deferred imitation refers to reproducing an observed act after a delay and without the model being present.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
A 2-year-old tries to sit in a miniature chair that is obviously too small. This error is best explained by difficulty with,object permanence,dual representation,phonological discrimination,visual anticipation,2,"Dual representation involves understanding that something can be both an object itself and a representation of something else, which young children often find difficult.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which statement best summarizes a major conclusion of research evaluating Piaget's sensorimotor stage- proposed,Piaget overestimated infants' symbolic ability but accurately dated object permanence,Infants appear more cognitively competent than Piaget originally proposed,Motor development is irrelevant to cognitive development,Piaget's account has been fully rejected and is no longer useful,2,Later research indicates that infants show earlier abilities in areas such as imitation and object understanding than Piaget originally described.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Habituation refers to,distress shown when a caregiver leaves,reduced attention after repeated exposure to the same stimulus,repeating a rewarded response more frequently,storing information in long-term memory permanently,2,Habituation is a basic learning process in which attention declines as a stimulus becomes familiar through repetition.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
"In infant research, a rapid rate of habituation is generally interpreted as",poor sensory functioning,greater efficiency in information processing,absence of curiosity,delayed symbolic development,2,Rapid habituation suggests that an infant processes familiar information efficiently and can shift attention more quickly to new stimuli.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which method is most useful when researchers want to infer infant discrimination between a familiar and a novel visual stimulus-,Bayley test administration,Novelty preference after habituation,Sociometric nomination,Moral dilemma interview,2,"If an infant shows a preference for a novel stimulus after habituation, it indicates that the infant can discriminate it from the familiar one.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which ability is most clearly illustrated by cross-modal transfer-,Using touch-based information to recognize a visually presented object,Repeating a behavior because it was rewarded,Searching for an invisible object,Combining two words into a meaningful phrase,1,Cross-modal transfer occurs when information learned through one sensory modality is recognized through another modality.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Research on infant information processing suggests that early measures such as habituation and recognition memory,are unrelated to later intellectual functioning,perfectly predict adult intelligence,have modest predictive value for later IQ,are valid only after age 3,3,"Early information-processing measures do not perfectly predict later intelligence, but they do show some useful predictive relationship with later IQ.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which infant ability would most likely be emphasized by the cognitive neuroscience approach-,Attachment style during brief separation,"Neural systems underlying memory, attention, and language",Parenting style categories,Class rank and academic performance,2,"The cognitive neuroscience approach focuses on how brain structures and neural processes support cognitive abilities such as attention, memory, and language.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
The social-contextual approach emphasizes that infants learn cognition and language chiefly through,maturational unfolding independent of social input,interaction with caregivers and shared activities,punishment for incorrect responses,solitary exploration with minimal adult involvement,2,"The social-contextual approach highlights the importance of guided participation, shared activities, and interaction with caregivers in cognitive and language development.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Joint attention is best defined as,simultaneous crying of infant and caregiver,following another person's gaze or pointing toward the same object,copying an action after a delay,recognizing that hidden objects still exist,2,Joint attention involves shared focus between the child and another person on the same object or event.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Failure to develop joint attention by the end of the first year is especially concerning because joint attention is important for,toilet training and motor coordination,language acquisition and understanding others' intentions,puberty and identity formation,conservation and class inclusion,2,Joint attention supports word learning and helps infants understand communicative intent and the focus of another person's attention.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which sequence best reflects typical early language development-,Telegraphic speech cooing babbling one-word utterances,Babbling cooing two-word speech underextension,Cooing babbling one-word utterances two-word speech,One-word utterances babbling echolalia cooing,3,This sequence reflects the typical progression of early expressive language development.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which statement best distinguishes babbling from cooing- cooing is earlier and softer vowel-like vocalization,Babbling appears earlier and is mostly vowel-like,Cooing appears later and includes repeated consonant-vowel combinations,"Babbling typically includes repeated consonant-vowel sounds, whereas cooing is earlier and softer vowel-like vocalization","Babbling is symbolic, whereas cooing is grammatical",3,"Cooing usually appears earlier and consists mainly of softer vowel-like sounds, while babbling involves more structured consonant-vowel combinations.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
"A toddler uses the word ""dog"" for all four-legged animals. This is an example of",underextension,overextension,overregularization,joint attention,2,Overextension occurs when a child applies a word too broadly to objects or beings beyond its correct category.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
"A young child says ""goed"" instead of ""went."" This most clearly illustrates",echolalia,deferred imitation,overregularization,dishabituation,3,"Overregularization occurs when children apply standard grammatical rules to irregular forms, such as saying ""goed.""",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which example best illustrates child-directed speech- expressive style,Using complex adult syntax to accelerate grammar learning,"Speaking in a slower, higher-pitched, simplified, and emotionally expressive style",Avoiding eye contact so the child can focus on speech sounds only,Limiting feedback so the child learns independently,2,"Child-directed speech is characterized by slower pace, higher pitch, simpler structure, and expressive tone that help maintain infant attention and support learning.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
The nativist position in the language debate emphasizes that,language is acquired only through imitation and reinforcement,biology provides infants with an inborn capacity for language learning,syntax emerges only after literacy instruction,vocabulary growth depends mainly on socioeconomic privilege,2,The nativist view holds that humans are biologically prepared for language and possess innate capacities that support its acquisition.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
The learning perspective on language acquisition is most likely to emphasize,"reinforcement, modeling, and environmental input",object permanence and symbolic play,frontal lobe maturation only,conservation and reversibility,1,"Learning theories explain language development through environmental exposure, imitation, modeling, and reinforcement.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which caregiver practice is most likely to promote early language development-,Sustained exposure to background television,"Responsive turn-taking, labeling, and shared attention during interaction",Correcting every articulation error immediately,Requiring memorization before allowing conversation,2,Responsive interaction provides meaningful language input in context and supports vocabulary growth and communication development.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Reading aloud to infants and toddlers is beneficial primarily because it engagement,guarantees early mastery of formal operations,supports emergent literacy and language growth through shared verbal engagement,replaces the need for social interaction,prevents all language delays regardless of context,2,"Reading aloud promotes vocabulary, listening skills, shared attention, and early literacy foundations through interactive verbal experience.",medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
A 2-year-old learns fewer usable concepts from a prerecorded screen demonstration than from a live adult showing the same task. This best reflects,separation anxiety,the video deficit,tertiary circular reaction,conservation failure,2,The video deficit refers to young children's reduced ability to learn and transfer information from screen demonstrations compared with live interactions.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
A registered psychometrician is asked to independently diagnose a complex neurodevelopmental disorder in a toddler despite lacking training and legal authority for such function. The most appropriate response is to,proceed to avoid delaying services,diagnose informally and document later,stay within competence and make an appropriate referral,delegate the decision to an untrained assistant,3,Ethical and professional standards require psychometricians to work within their competence and legal scope and to refer cases that exceed their training or authority.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
"During developmental assessment of a 20-month-old, a practitioner records the child without the parent's knowledge because the recording may be useful for later scoring. This is ethically inappropriate primarily because",recordings are never useful in assessment,consent should be obtained before recording voices or images,toddlers cannot be assessed through observation,only physicians may document child behavior,2,Recording a child during assessment without parental knowledge violates ethical requirements for informed consent and proper protection of confidentiality.,medium,Developmental Psychology,Chapter 5: Cognitive Development during the First Three Years
Which statement best reflects the nature of psychosocial development during the first three years of life- from infancy onward.,It refers only to emotional growth and excludes social relationships.,It involves the interplay of personality development and social relationships from infancy onward.,It is limited to the child's acquisition of language and motor control.,It consists mainly of changes in intelligence during infancy.,2,Psychosocial development in the first three years includes both personality development and the infant's or toddler's relationships with caregivers and other people.,medium,Developmental Psychology,Chapter 6: Psychosocial Development during the First
A 2-month-old infant smiles when her mother smiles and coos at her. This behavior is best described as:,social smiling,self-evaluative emotion,symbolic thought,social comparison,1,"Social smiling refers to the early smile directed toward another person, typically emerging in response to human interaction.",medium,Developmental Psychology,Chapter 6: Psychosocial Development during the First
